from_stop_id,to_stop_id,transfer_type,min_transfer_time
AH220,AH115,2,300
AH220,AH125,2,300
AH220,AH130,2,300
AH220,AH230,2,300
AH220,AI380,2,300
AH230,AH130,2,300
AH230,AH220,2,300
AH230,AH240,2,300
AH230,AH250,2,300
AH230,AH260,2,300
AH230,AH270,2,300
AH240,AH130,2,300
AH240,AH230,2,300
AH240,AH250,2,300
AH240,AH260,2,300
AH240,AH270,2,300
AH250,AH230,2,300
AH250,AH240,2,300
AH250,AH260,2,300
AH260,AH230,2,300
AH260,AH240,2,300
AH260,AH250,2,300
AH260,AH270,2,300
AH270,AH230,2,300
AH270,AH240,2,300
AH270,AH260,2,300
AH280,AH290,2,300
AH290,AH110,2,300
AH290,AH120,2,300
AH290,AH280,2,300
AH300,AH310,2,300
AH310,AH300,2,300
AH320,AH330,2,300
AH330,AH320,2,300
AH340,AH095,2,300
AH340,AH350,2,300
AH350,AH340,2,300
AH360,AH095,2,300
AH470,AH480,2,300
AH470,AI480,2,300
AH470,AI490,2,300
AH480,AH470,2,300
AH480,AI480,2,300
AH480,AI490,2,300
AH490,AH500,2,300
AH500,AH490,2,300
AI010,AG280,2,300
AI010,AG290,2,300
AI010,AG300,2,300
AI010,AG310,2,300
AI010,AG320,2,300
AI010,AG330,2,300
AI010,AG340,2,300
AI010,AG540,2,300
AI030,AI040,2,300
AI040,AI030,2,300
AI050,AI060,2,300
AI060,AI050,2,300
AI070,AI080,2,300
AI080,AI070,2,300
AI090,AI100,2,300
AI100,AI090,2,300
AI110,AI120,2,300
AI120,AI110,2,300
AI150,AI160,2,300
AI160,AI150,2,300
AI170,AI180,2,300
AI180,AI170,2,300
AI190,AI200,2,300
AI200,AI190,2,300
AI230,AI240,2,300
AI240,AI230,2,300
AI300,AK650,2,300
AI360,AI380,2,300
AI380,AH130,2,300
AI380,AH220,2,300
AI380,AI360,2,300
AI460,AH110,2,300
AI460,AH120,2,300
AI480,AH470,2,300
AI480,AH480,2,300
AI490,AH470,2,300
AI490,AH480,2,300
AI500,AI510,2,300
AI510,AI500,2,300
AI521,AG380,2,300
AI521,AI530,2,300
AI530,AI521,2,300
AJ005,AJ006,2,300
AJ006,AJ005,2,300
AJ007,AJ010,2,300
AJ010,AJ007,2,300
AJ030,AJ180,2,300
AJ080,AF210,2,300
AJ080,AF230,2,300
AJ080,AF240,2,300
AJ080,AG190,2,300
AJ110,AJ120,2,300
AJ120,AJ110,2,300
AJ180,AJ030,2,300
AJ200,AJ203,2,300
AJ200,AJ210,2,300
AJ203,AJ200,2,300
AJ210,AJ200,2,300
AJ220,AJ230,2,300
AJ230,AJ220,2,300
AJ260,AJ270,2,300
AJ270,AJ260,2,300
AJ280,AE660,2,300
AJ280,AE670,2,300
AJ280,AJ290,2,300
AJ290,AE660,2,300
AJ290,AE670,2,300
AJ290,AJ280,2,300
AJ300,AE680,2,300
AJ300,AE690,2,300
AJ300,AJ310,2,300
AJ300,EC130,2,300
AJ310,AE680,2,300
AJ310,AE690,2,300
AJ310,AJ300,2,300
AJ310,EC120,2,300
AJ310,EC130,2,300
AJ320,AG180,2,300
AJ320,AG200,2,300
AJ320,AG210,2,300
AJ320,AG220,2,300
AJ320,AG240,2,300
AJ320,AG250,2,300
AJ320,AG260,2,300
AJ320,AG270,2,300
AJ330,AJ340,2,300
AJ340,AJ330,2,300
AJ390,AJ400,2,300
AJ400,AJ390,2,300
AJ410,AJ420,2,300
AJ420,AJ410,2,300
AJ430,AJ440,2,300
AJ440,AJ430,2,300
AK090,AK100,2,300
AK100,AK090,2,300
AK110,AK120,2,300
AK120,AK110,2,300
AK130,AK140,2,300
AK140,AK130,2,300
AK145,AK151,2,300
AK151,AK145,2,300
AK155,AK160,2,300
AK160,AK155,2,300
AK360,AK370,2,300
AK370,AK360,2,300
AK380,AK390,2,300
AK390,AK380,2,300
AK420,AK430,2,300
AK430,AK420,2,300
AK500,AK550,2,300
AK510,AK530,2,300
AK510,AK560,2,300
AK530,AK510,2,300
AK550,AK500,2,300
AK560,AK510,2,300
AK650,AI300,2,300
AK650,AK660,2,300
AK660,AK650,2,300
AL050,AL060,2,300
AL060,AL050,2,300
AL090,AL100,2,300
AL100,AL090,2,300
